Date,DayOfWeek,PdDistrict,new_cat_domestic,new_cat_drug,new_cat_kidnap,new_cat_others,new_cat_public,new_cat_sex,new_cat_suicide,new_cat_theft,sum_crime_district,sunrise_time,sunset_time,daylight_hours
01/01/2014,Wednesday,INGLESIDE,1,2,0,8,7,1,0,5,24,725,1702,9.616666666666667
01/01/2014,Wednesday,MISSION,2,3,1,6,24,1,0,10,47,725,1702,9.616666666666667
01/01/2014,Wednesday,NORTHERN,1,0,0,6,17,2,0,25,51,725,1702,9.616666666666667
01/01/2014,Wednesday,PARK,1,0,1,3,2,1,0,4,12,725,1702,9.616666666666667
01/01/2014,Wednesday,RICHMOND,2,0,1,3,10,1,0,7,24,725,1702,9.616666666666667
01/01/2014,Wednesday,SOUTHERN,1,0,0,14,15,1,0,22,53,725,1702,9.616666666666667
01/01/2014,Wednesday,TARAVAL,1,1,0,9,12,2,0,14,39,725,1702,9.616666666666667
01/01/2014,Wednesday,TENDERLOIN,0,6,0,4,10,0,0,11,31,725,1702,9.616666666666667
01/01/2015,Thursday,BAYVIEW,0,0,0,8,8,0,0,11,27,725,1701,9.6
01/01/2015,Thursday,CENTRAL,2,2,1,4,20,0,0,27,56,725,1701,9.6
01/01/2015,Thursday,INGLESIDE,0,0,0,10,6,0,0,6,22,725,1701,9.6
01/01/2015,Thursday,MISSION,0,2,1,13,18,1,0,17,52,725,1701,9.6
01/01/2015,Thursday,NORTHERN,0,1,0,10,16,1,0,34,62,725,1701,9.6
01/01/2015,Thursday,PARK,2,0,0,1,1,0,0,9,13,725,1701,9.6
01/01/2015,Thursday,RICHMOND,0,0,0,5,3,0,0,13,21,725,1701,9.6
01/01/2015,Thursday,SOUTHERN,4,2,1,8,28,2,0,46,91,725,1701,9.6
01/01/2015,Thursday,TARAVAL,1,0,0,8,16,0,0,14,39,725,1701,9.6
01/01/2015,Thursday,TENDERLOIN,0,1,0,4,12,0,0,12,29,725,1701,9.6
01/01/2016,Friday,BAYVIEW,1,1,0,9,7,3,0,19,40,725,1701,9.6
01/01/2016,Friday,CENTRAL,0,0,0,5,28,0,0,32,65,725,1701,9.6
