Date,DayOfWeek,PdDistrict,new_cat_domestic,new_cat_drug,new_cat_kidnap,new_cat_others,new_cat_public,new_cat_sex,new_cat_suicide,new_cat_theft,sum_crime_district
01/15/2016,Friday,CENTRAL,0,1,0,5,19,0,0,22,47
01/15/2016,Friday,INGLESIDE,1,0,0,5,6,1,0,17,30
01/15/2016,Friday,MISSION,0,0,0,6,8,2,0,10,26
01/15/2016,Friday,NORTHERN,1,2,0,5,8,1,0,23,40
01/15/2016,Friday,PARK,1,1,0,4,4,0,0,11,21
01/15/2016,Friday,RICHMOND,0,0,0,5,4,0,0,8,17
01/15/2016,Friday,SOUTHERN,2,2,0,8,28,3,0,43,86
01/15/2016,Friday,TARAVAL,1,0,0,7,4,0,1,15,28
01/15/2016,Friday,TENDERLOIN,1,1,0,2,8,0,0,8,20
01/15/2017,Sunday,BAYVIEW,0,1,0,3,10,0,0,11,25
01/15/2017,Sunday,CENTRAL,2,0,0,2,7,0,0,24,35
01/15/2017,Sunday,INGLESIDE,1,0,0,3,6,1,0,6,17
01/15/2017,Sunday,MISSION,1,1,0,11,17,1,0,29,60
01/15/2017,Sunday,NORTHERN,0,1,0,8,8,0,0,23,40
01/15/2017,Sunday,PARK,5,1,0,0,7,0,0,9,22
01/15/2017,Sunday,RICHMOND,2,0,0,1,1,0,0,5,9
01/15/2017,Sunday,SOUTHERN,3,5,0,12,19,1,0,50,90
01/15/2017,Sunday,TARAVAL,1,0,0,3,8,0,0,13,25
01/15/2017,Sunday,TENDERLOIN,0,3,0,4,6,1,0,6,20
01/16/2012,Monday,BAYVIEW,1,2,0,6,13,0,0,10,32
01/16/2012,Monday,CENTRAL,0,0,0,5,5,1,0,14,25
01/16/2012,Monday,INGLESIDE,0,1,0,5,6,0,0,4,16
01/16/2012,Monday,MISSION,2,1,1,6,12,0,0,12,34
01/16/2012,Monday,NORTHERN,0,1,0,6,14,0,0,14,35
01/16/2012,Monday,PARK,1,0,0,2,1,0,0,7,11
01/16/2012,Monday,RICHMOND,0,0,0,1,2,0,0,5,8
